;Country;EDemand;GridGenCost;PVCost;GridCapInvCost;DiscountRate;LVCost;MVCost;GridLosses;NatPopDens;Core;Buffer;Admin;Method;Res;PopGrid;PopMG;PopSA;AddedCapGrid;AddedCapSA;AddedCapMG;GridInv;SAInv;MGInv;TotInv;LCOEGrid;LCOESA;LCOEMGWind;LCOEMGPV;LCOEMGHydro;LCOE
54;bj;0.802383432;0.166989979;0.859123403;1756.516675;0.093686415;6490.332429;16039.05159;0.148558285;108;1;200;0;1;100;11448614.64;410304.6758;3813080.727;210775.0336;248981.7283;45140.05014;1419237637;971301328;165834439.8;2556373405;0.206459572;0.309452028;0;0.309649097;0.2145043;0.266832156
55;bj;0.972295942;0.144151233;1.007557533;1647.995221;0.07388421;6681.09473;14618.93308;0.163424615;108;1;200;0;1;100;12343074.71;644491.4083;2684433.927;285356.6873;194486.5353;74005.34725;1683930178;887027705.5;316802000.5;2887759884;0.195342716;0.326804826;0;0.315905496;0.198333008;0.256558444
56;bj;1.052340246;0.190352351;1.150376336;2013.614119;0.086338029;8133.689112;15793.41902;0.162334075;108;1;200;0;1;100;12320753.65;721414.8532;2629831.543;308023.1788;203491.8061;89327.69137;1955392478;1059675318;427498201.4;3442565998;0.247528568;0.395415346;0;0.380351603;0.228434531;0.31619364
57;bj;1.15193969;0.191378097;1.181971893;2247.820268;0.069200915;7010.719806;14765.62188;0.147604242;108;1;200;0;1;100;12409839.72;1209535.551;2052624.772;332628.5313;167937.094;154119.5662;2000964490;897215248.4;741663992.6;3639843731;0.236559866;0.370844107;0;0.343697988;0.191133851;0.294052021
58;bj;1.142022006;0.13463407;0.810335903;2145.079727;0.069419487;7782.588293;14862.87026;0.129788956;108;1;200;0;1;100;11914118.86;635010.7171;3122870.464;309163.965;271669.1737;92025.82608;1845003316;996302279.5;320568151.9;3161873748;0.170122876;0.256873407;0;0.252311007;0.169456946;0.215680116
59;bj;1.198699881;0.169801226;1.196655742;1920.415226;0.070920773;7412.864142;16088.82961;0.147194303;108;1;200;0;1;100;12778813.01;958729.2038;1934457.832;356617.7019;166470.2674;128624.8192;2108726534;900077964.8;630840652.9;3639645152;0.226466492;0.37858305;0;0.353048465;0.195748898;0.285905898
60;bj;0.891565786;0.165275131;1.039084311;2023.497075;0.09690097;4465.985563;16115.16557;0.175264066;108;1;200;0;1;100;12360090.43;915767.7212;2396141.888;264393.6198;158959.0261;94026.46882;1656583869;747176013.1;398219160.9;2801979043;0.222005829;0.372812439;0;0.354297017;0.214067128;0.290611819
61;bj;1.12575123;0.198312683;0.790201878;1884.249362;0.089801822;5071.664429;15255.46934;0.115838096;108;1;200;0;1;100;10363214.96;2518575.378;2790209.703;238618.2462;231409.6102;391199.7959;1268177404;827724387.5;1200782278;3296684069;0.204519911;0.275337755;0;0.257138997;0.177263653;0.248806476
62;bj;0.910640253;0.18642545;1.092056701;2259.766292;0.077537191;6839.441813;15483.19278;0.165075051;108;1;200;0;1;100;12020349.87;855662.8173;2795987.353;259321.968;190054.9221;93146.60776;1754005731;940050400.4;424815434;3118871565;0.232794247;0.360603145;0;0.345540971;0.218471385;0.296976219
63;bj;1.024500443;0.196152107;0.955848809;1613.461735;0.09053396;5906.129797;15876.3036;0.152398114;108;1;200;0;1;100;11654941.52;1242996.001;2774062.519;276401.9518;209356.8958;153447.5307;1509559926;906170203.1;595989669.8;3011719798;0.229035137;0.335080515;0;0.316049233;0.206409509;0.285644712
64;bj;0.838487795;0.140904847;0.821854595;2422.502742;0.094245652;5310.484661;15110.56142;0.127031741;108;1;200;0;1;100;11837687.34;468946.4583;3365366.246;224438.9813;221697.8613;50654.32294;1580262971;825790998.3;177322757.3;2583376727;0.184451278;0.295015422;0;0.293998858;0.194352342;0.244157172
65;bj;0.870734041;0.173110158;1.216868476;2355.596321;0.083547878;6442.202154;15302.56376;0.137502279;108;1;200;0;1;100;12531100.74;673462.2453;2467437.056;251354.8872;160407.8052;67841.69669;1854534788;883039974.4;343976414.5;3081551177;0.242213939;0.410976836;0;0.395579504;0.229967744;0.316052517
66;bj;1.227318595;0.188417018;1.061430707;1791.819019;0.07190065;7914.284197;15433.8651;0.168824808;108;1;200;0;1;100;12058798.01;1188202.913;2424999.118;352495.2194;212084.7718;169172.4274;1876162900;1018363200;735231771;3629757870;0.225747957;0.338494616;0;0.315808929;0.192181623;0.279602152
67;bj;0.906011273;0.146374038;1.226571712;1978.627004;0.067456781;4987.470599;16113.75515;0.138608877;108;1;200;0;1;100;12829960.52;947743.6511;1894295.873;267040.0368;126605.568;95611.91958;1792057158;701568411.6;481457457.9;2975083028;0.209544838;0.380952465;0;0.354685143;0.190074797;0.275864263
68;bj;0.920939831;0.144757143;0.898712588;2117.785888;0.091854977;7216.739934;15402.32806;0.130907469;108;1;200;0;1;100;12013446.72;360189.148;3298364.169;252316.1071;237895.8053;42325.99963;1721554014;968334709.3;164005653.7;2853894377;0.196627232;0.318822965;0;0.317857652;0.205389294;0.259924436
69;bj;0.977227289;0.155239934;0.968132736;2472.114987;0.068202215;7677.186336;14500.65091;0.119898778;108;1;200;0;1;100;12008038.32;662060.5325;3001901.187;263938.1447;222730.8914;79287.03951;1834829170;976270456.1;329037688.7;3140137315;0.197940005;0.305733156;0;0.297072616;0.198065045;0.252947583
70;bj;1.158291871;0.129123507;0.872390117;1904.297697;0.07051014;6738.423344;14919.51298;0.165973442;108;1;200;0;1;100;12287910.98;741262.8692;2642826.197;339301.4213;225374.0041;102240.1183;1863577149;889344578.6;378652937.6;3131574665;0.17036494;0.277095331;0;0.266903511;0.17721614;0.220635895
71;bj;0.766524941;0.182455491;1.23852702;2220.543025;0.09324632;5364.074721;14607.97908;0.15371487;108;1;200;0;1;100;12486916.85;675719.6386;2509363.552;224441.7565;144668.1028;59953.8972;1655121320;811107144.8;307512250.6;2773740716;0.256189439;0.437808516;0;0.422679661;0.240612732;0.336698799
72;bj;1.231845717;0.196585669;0.886655945;2168.928286;0.076709046;7462.181096;15654.45182;0.178340694;108;1;200;0;1;100;10924429.92;1952918.901;2794651.22;311963.701;253154.5868;302325.1089;1682917797;1015820825;1078514043;3777252665;0.212045465;0.290379188;0;0.271355606;0.187614422;0.258236278
73;bj;1.11229008;0.149568753;1.080634004;1820.926472;0.066645768;7834.787416;14963.49742;0.122674944;108;1;200;0;1;100;12557139.44;711964.0908;2402896.509;316902.76;195137.2388;92581.15464;1929687498;953691137.3;421823126.7;3305201762;0.202081093;0.33619869;0;0.32110335;0.190299883;0.260093289
74;bj;0.752404843;0.158977773;0.835896137;2367.936786;0.099258956;6516.892555;16254.01747;0.128289085;108;1;200;0;1;100;11371244.37;201141.8247;4099613.85;191441.5076;256842.5993;23321.68279;1492988893;976620323.4;84485049.72;2554094266;0.20105891;0.310625683;0;0.316929786;0.200473781;0.266068852
75;bj;1.204772076;0.149950044;1.23650967;1672.481937;0.075835072;4713.515573;15317.24715;0.176339111;108;1;200;0;1;100;13213435.09;1167159.818;1291405.134;383422.4165;112777.0082;143981.4227;1993052766;629197134.8;712101668.8;3334351569;0.210521221;0.399447153;0;0.361831566;0.179136148;0.271337367
76;bj;1.185336003;0.179287059;1.168816944;1958.224943;0.098767903;5614.94794;16272.74304;0.1149818;108;1;200;0;1;100;12867589.43;1025990.916;1778419.698;341875.1012;152307.2121;132901.3814;2004149741;804271420.1;620688293;3429109454;0.242211299;0.42128949;0;0.391289047;0.210735491;0.309991699
77;bj;0.790297958;0.177633522;1.202334893;1851.881171;0.080798296;4194.904947;15461.61802;0.151622011;108;1;200;0;1;100;12455477.78;1037258.704;2179263.556;229354.0035;127599.858;91957.82635;1522368420;693780536.5;450082235.5;2666231192;0.236709497;0.39956882;0;0.376506383;0.211120852;0.307606747
